Description,Post Date,Transaction Amount,Transaction Base Type,Transaction Id,Balance,,,,,,,,
"4113 11MAY11 , SACAT SAINSBURYS , LONDON 4920 GB - POS",5/12/11,3.75,Debit,123578,-91.66,,,,,,,,
"4113 12MAY11 , DEBENHAMS , OXFORD STREET GB - POS",5/13/11,36.00,Debit,123579,-127.66,,,,,,,,
"4113 12MAY11 , DEBENHAMS , OXFORD STREET GB , REFUND - POS",5/13/11,125.00,Credit,123580,-2.66,,,,,,,,
"4113 12MAY11 , SELFRIDGES LONDON , LONDON GB - POS",5/13/11,120.00,Debit,123581,-122.66,,,,,,,,
"4113 12MAY11 , SELFRIDGES LONDON , LONDON GB - POS",5/13/11,20.00,Debit,123582,-142.66,,,,,,,,
"4113 13MAY11 , WWW.ASOS.COM , HEMEL HEMPSTE GB - POS",5/16/11,40.00,Debit,123583,-182.66,,,,,,,,
"4113 12MAY11 , AMAZON EU , AMAZON.CO.UK LU - POS",5/16/11,18.25,Debit,123584,-200.91,,,,,,,,
"4113 14MAY11 , EC MAINLINE CO SST, LNDON N1 7729 GB - POS",5/16/11,30.50,Debit,123585,-231.41,,,,,,,,
"4113 15MAY11 , TICKETMASTER.CO.UK, 0870 2424442 GB - POS",5/17/11,53.13,Debit,123586,-284.54,,,,,,,,
"4113 16MAY11 , SAINSBURY'S SMKT , GREENWICH GB - POS",5/17/11,4.00,Debit,123587,-288.54,,,,,,,,
EGG BANKING PLC - BAC,5/18/11,"1,000.00",Credit,123588,711.46,,,,,,,,
"4113 17MAY11 , SACAT SAINSBURYS , LONDON 4920 GB - POS",5/18/11,7.54,Debit,123589,703.92,,,,,,,,
"4113 18MAY11 , TESCO STORES SACAT, MARYLEBONE GB - POS",5/19/11,7.60,Debit,123590,696.32,,,,,,,,
"4113 19MAY11 , TESCO STORES 2722 , EUSTON GB - POS",5/20/11,5.00,Debit,123591,691.32,,,,,,,,
THE ECONOMIST - D/D,5/20/11,29.00,Debit,123592,662.32,,,,,,,,
"CALL REF.NO. 0410 , HAYWOODS LETTINGS , FP 20/05/11 10 , 20172700020642000N - OTR",5/20/11,100.00,Debit,123593,562.32,,,,,,,,
ORANGE - D/D,5/20/11,36.46,Debit,123594,525.86,,,,,,,,
"4113 22MAY11 , SACAT SAINSBURYS , GREENWICH GB - POS",5/23/11,8.81,Debit,123595,517.05,,,,,,,,
